,B8,B9,B10,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7
0.0,0.255,0.253,0.246,0.258,0.265,0.255,0.292,0.298,0.29,0.257,0.25,0.266,0.093,0.097,0.091
0.5,0.252,0.248,0.24,0.255,0.263,0.255,0.287,0.293,0.284,0.249,0.244,0.261,0.09,0.093,0.089
1.0,0.253,0.25,0.24,0.255,0.266,0.258,0.29,0.296,0.284,0.249,0.245,0.263,0.09,0.093,0.089
1.5,0.261,0.255,0.247,0.263,0.273,0.266,0.297,0.304,0.292,0.254,0.246,0.268,0.089,0.092,0.089
2.0,0.268,0.265,0.259,0.275,0.282,0.273,0.304,0.311,0.298,0.264,0.258,0.277,0.089,0.092,0.089
2.5,0.276,0.275,0.272,0.283,0.29,0.28,0.313,0.32,0.306,0.275,0.267,0.287,0.089,0.092,0.09
3.0,0.286,0.288,0.284,0.296,0.299,0.29,0.321,0.331,0.316,0.285,0.278,0.295,0.09,0.093,0.089
3.5,0.296,0.3,0.296,0.309,0.308,0.299,0.33,0.348,0.328,0.296,0.29,0.305,0.088,0.092,0.088
4.0,0.308,0.313,0.307,0.322,0.317,0.308,0.352,0.37,0.346,0.306,0.303,0.32,0.09,0.092,0.088
4.5,0.324,0.328,0.331,0.34,0.328,0.318,0.368,0.384,0.362,0.322,0.32,0.333,0.089,0.09,0.088
5.0,0.34,0.346,0.349,0.36,0.347,0.338,0.385,0.399,0.379,0.34,0.336,0.351,0.09,0.091,0.089
5.5,0.353,0.362,0.363,0.376,0.362,0.352,0.395,0.411,0.389,0.353,0.345,0.364,0.089,0.091,0.089
6.0,0.367,0.375,0.381,0.39,0.374,0.364,0.404,0.423,0.402,0.364,0.361,0.374,0.09,0.091,0.089
6.5,0.38,0.39,0.398,0.405,0.383,0.375,0.416,0.435,0.411,0.378,0.374,0.39,0.089,0.091,0.088
7.0,0.393,0.402,0.419,0.42,0.397,0.384,0.429,0.45,0.427,0.39,0.386,0.402,0.09,0.091,0.088
7.5,0.404,0.416,0.441,0.438,0.409,0.397,0.445,0.468,0.446,0.407,0.403,0.414,0.089,0.09,0.088
8.0,0.42,0.429,0.463,0.457,0.424,0.41,0.46,0.48,0.46,0.424,0.419,0.431,0.089,0.091,0.088
8.5,0.436,0.445,0.484,0.478,0.438,0.426,0.472,0.495,0.472,0.44,0.432,0.446,0.09,0.091,0.089
9.0,0.45,0.459,0.502,0.499,0.453,0.438,0.49,0.509,0.481,0.459,0.445,0.458,0.089,0.091,0.088
9.5,0.465,0.474,0.52,0.522,0.467,0.456,0.502,0.523,0.492,0.477,0.457,0.471,0.09,0.091,0.088
10.0,0.479,0.488,0.537,0.546,0.484,0.469,0.516,0.544,0.51,0.492,0.469,0.482,0.09,0.091,0.087
10.5,0.492,0.5,0.556,0.569,0.497,0.479,0.527,0.553,0.522,0.507,0.485,0.493,0.089,0.091,0.088
11.0,0.506,0.515,0.574,0.593,0.512,0.493,0.543,0.565,0.535,0.522,0.498,0.506,0.089,0.09,0.088
11.5,0.52,0.529,0.594,0.614,0.527,0.509,0.556,0.577,0.55,0.538,0.512,0.516,0.089,0.09,0.088
12.0,0.533,0.545,0.614,0.639,0.543,0.524,0.571,0.59,0.565,0.551,0.525,0.531,0.089,0.091,0.088
12.5,0.549,0.56,0.636,0.662,0.562,0.541,0.584,0.603,0.579,0.568,0.54,0.541,0.091,0.092,0.088
13.0,0.563,0.574,0.658,0.686,0.58,0.554,0.596,0.614,0.591,0.582,0.555,0.555,0.089,0.088,0.086
13.5,0.578,0.59,0.679,0.711,0.597,0.569,0.609,0.628,0.604,0.597,0.568,0.568,0.089,0.09,0.089
14.0,0.592,0.604,0.703,0.737,0.614,0.583,0.621,0.64,0.619,0.613,0.58,0.582,0.09,0.09,0.089
14.5,0.608,0.619,0.724,0.761,0.631,0.597,0.631,0.651,0.629,0.629,0.594,0.594,0.089,0.091,0.088
15.0,0.624,0.636,0.748,0.786,0.649,0.611,0.644,0.663,0.642,0.644,0.607,0.609,0.089,0.09,0.088
15.5,0.636,0.65,0.771,0.811,0.668,0.624,0.657,0.676,0.656,0.661,0.622,0.623,0.09,0.089,0.088
16.0,0.651,0.666,0.791,0.833,0.682,0.636,0.665,0.686,0.665,0.673,0.636,0.634,0.089,0.089,0.087
16.5,0.666,0.681,0.813,0.857,0.699,0.65,0.678,0.697,0.677,0.689,0.65,0.648,0.09,0.09,0.088
17.0,0.68,0.699,0.829,0.874,0.715,0.663,0.687,0.708,0.69,0.704,0.665,0.661,0.089,0.089,0.088
17.5,0.696,0.716,0.832,0.879,0.732,0.675,0.698,0.719,0.701,0.718,0.679,0.675,0.09,0.091,0.088
18.0,0.708,0.729,0.834,0.88,0.747,0.686,0.708,0.728,0.713,0.729,0.692,0.685,0.088,0.09,0.088
18.5,0.722,0.746,0.853,0.9,0.764,0.699,0.719,0.739,0.722,0.742,0.708,0.699,0.089,0.09,0.088
19.0,0.735,0.762,0.891,0.929,0.778,0.71,0.729,0.749,0.733,0.76,0.721,0.712,0.089,0.09,0.088
19.5,0.748,0.777,0.889,0.93,0.789,0.719,0.736,0.759,0.743,0.767,0.735,0.723,0.088,0.089,0.087
20.0,0.76,0.794,0.887,0.93,0.799,0.729,0.747,0.769,0.752,0.768,0.749,0.736,0.089,0.091,0.088
20.5,0.774,0.802,0.885,0.929,0.802,0.74,0.757,0.777,0.76,0.768,0.76,0.748,0.089,0.09,0.087
21.0,0.784,0.803,0.884,0.929,0.806,0.749,0.765,0.787,0.77,0.769,0.774,0.759,0.089,0.09,0.087
21.5,0.785,0.801,0.88,0.928,0.806,0.757,0.773,0.795,0.776,0.779,0.789,0.768,0.087,0.089,0.088
22.0,0.786,0.806,0.878,0.929,0.817,0.766,0.782,0.805,0.786,0.823,0.794,0.784,0.088,0.09,0.088
22.5,0.787,0.807,0.876,0.928,0.834,0.769,0.789,0.813,0.794,0.83,0.792,0.796,0.088,0.09,0.088
23.0,0.788,0.845,0.874,0.927,0.848,0.771,0.798,0.82,0.804,0.831,0.793,0.796,0.089,0.09,0.087
23.5,0.797,0.855,0.871,0.925,0.848,0.771,0.804,0.824,0.805,0.829,0.792,0.795,0.088,0.089,0.088
24.0,0.831,0.855,0.87,0.922,0.846,0.774,0.806,0.832,0.807,0.828,0.799,0.796,0.089,0.089,0.089
24.5,0.834,0.853,0.869,0.92,0.844,0.773,0.807,0.829,0.808,0.825,0.813,0.795,0.088,0.089,0.087
25.0,0.834,0.853,0.869,0.92,0.845,0.774,0.809,0.834,0.81,0.824,0.842,0.802,0.09,0.091,0.088
25.5,0.833,0.851,0.869,0.92,0.845,0.779,0.808,0.831,0.809,0.821,0.845,0.817,0.089,0.091,0.089
26.0,0.832,0.848,0.869,0.918,0.843,0.788,0.809,0.83,0.81,0.82,0.844,0.844,0.089,0.091,0.089
26.5,0.832,0.847,0.872,0.918,0.844,0.802,0.81,0.83,0.816,0.82,0.845,0.846,0.09,0.09,0.088
27.0,0.83,0.842,0.872,0.915,0.84,0.798,0.81,0.829,0.825,0.818,0.842,0.844,0.089,0.091,0.087
27.5,0.831,0.84,0.876,0.914,0.84,0.795,0.817,0.841,0.846,0.815,0.841,0.843,0.089,0.09,0.088
28.0,0.83,0.838,0.879,0.912,0.84,0.79,0.826,0.851,0.846,0.814,0.841,0.844,0.088,0.089,0.087
28.5,0.831,0.838,0.882,0.911,0.839,0.785,0.839,0.868,0.846,0.814,0.839,0.843,0.089,0.091,0.088
29.0,0.83,0.835,0.887,0.911,0.839,0.78,0.84,0.869,0.843,0.816,0.836,0.844,0.09,0.09,0.088
29.5,0.831,0.833,0.894,0.91,0.839,0.778,0.836,0.864,0.842,0.816,0.835,0.844,0.089,0.091,0.087
30.0,0.832,0.831,0.901,0.909,0.836,0.773,0.832,0.862,0.841,0.819,0.833,0.842,0.088,0.089,0.088
30.5,0.832,0.83,0.908,0.911,0.837,0.77,0.828,0.858,0.841,0.822,0.834,0.841,0.088,0.089,0.087
31.0,0.831,0.827,0.916,0.908,0.839,0.769,0.823,0.856,0.84,0.823,0.832,0.841,0.089,0.09,0.087
31.5,0.83,0.826,0.922,0.908,0.838,0.768,0.82,0.852,0.84,0.825,0.83,0.841,0.088,0.09,0.087
32.0,0.829,0.826,0.931,0.905,0.839,0.768,0.816,0.849,0.839,0.827,0.83,0.84,0.088,0.089,0.086
32.5,0.829,0.825,0.939,0.907,0.838,0.767,0.813,0.848,0.839,0.831,0.829,0.84,0.089,0.089,0.087
33.0,0.829,0.822,0.947,0.907,0.839,0.766,0.811,0.847,0.84,0.836,0.826,0.839,0.088,0.088,0.087
33.5,0.829,0.822,0.958,0.909,0.839,0.767,0.811,0.848,0.841,0.844,0.826,0.839,0.088,0.089,0.087
34.0,0.828,0.822,0.971,0.909,0.839,0.766,0.81,0.847,0.843,0.852,0.827,0.837,0.088,0.09,0.088
34.5,0.828,0.822,0.979,0.908,0.839,0.766,0.808,0.845,0.844,0.855,0.824,0.837,0.089,0.089,0.087
35.0,0.827,0.822,0.988,0.909,0.839,0.767,0.808,0.845,0.845,0.859,0.824,0.836,0.088,0.089,0.087
35.5,0.827,0.821,0.995,0.909,0.84,0.767,0.809,0.844,0.845,0.862,0.822,0.834,0.088,0.089,0.087
36.0,0.825,0.82,1.002,0.908,0.84,0.767,0.809,0.841,0.846,0.868,0.82,0.831,0.088,0.089,0.086
36.5,0.825,0.822,1.009,0.91,0.841,0.77,0.81,0.843,0.847,0.874,0.82,0.831,0.089,0.089,0.088
37.0,0.824,0.821,1.017,0.91,0.842,0.769,0.812,0.842,0.849,0.883,0.818,0.83,0.089,0.089,0.087
37.5,0.825,0.822,1.026,0.913,0.842,0.769,0.814,0.845,0.85,0.891,0.817,0.831,0.089,0.089,0.088
38.0,0.825,0.825,1.033,0.916,0.842,0.772,0.812,0.845,0.852,0.9,0.817,0.829,0.089,0.089,0.087
38.5,0.826,0.824,1.035,0.917,0.841,0.771,0.814,0.846,0.853,0.907,0.817,0.83,0.089,0.09,0.088
39.0,0.827,0.826,1.042,0.919,0.842,0.771,0.816,0.847,0.856,0.914,0.817,0.828,0.089,0.09,0.088
39.5,0.825,0.827,1.043,0.921,0.844,0.773,0.819,0.847,0.856,0.92,0.817,0.826,0.09,0.09,0.087
40.0,0.827,0.83,1.047,0.923,0.843,0.773,0.821,0.847,0.858,0.924,0.817,0.827,0.09,0.089,0.088
40.5,0.826,0.831,1.048,0.928,0.844,0.775,0.823,0.848,0.859,0.931,0.816,0.826,0.088,0.09,0.088
41.0,0.828,0.833,1.049,0.932,0.844,0.777,0.824,0.85,0.86,0.938,0.815,0.827,0.089,0.089,0.087
41.5,0.828,0.835,1.045,0.935,0.844,0.778,0.825,0.85,0.862,0.943,0.816,0.825,0.088,0.089,0.088
42.0,0.83,0.839,1.047,0.94,0.846,0.779,0.826,0.853,0.863,0.95,0.818,0.827,0.089,0.09,0.088
42.5,0.83,0.838,1.039,0.945,0.845,0.779,0.827,0.853,0.863,0.952,0.818,0.824,0.089,0.089,0.088
43.0,0.831,0.843,1.032,0.95,0.845,0.78,0.829,0.852,0.863,0.957,0.818,0.822,0.087,0.089,0.087
43.5,0.832,0.845,1.027,0.956,0.846,0.781,0.83,0.855,0.866,0.96,0.82,0.825,0.089,0.088,0.088
44.0,0.832,0.847,1.017,0.958,0.847,0.781,0.831,0.856,0.866,0.96,0.82,0.824,0.089,0.089,0.087
44.5,0.834,0.853,1.006,0.967,0.847,0.784,0.834,0.857,0.868,0.965,0.823,0.823,0.089,0.09,0.088
45.0,0.834,0.855,0.992,0.972,0.847,0.785,0.832,0.858,0.868,0.964,0.822,0.822,0.088,0.089,0.087
45.5,0.835,0.857,0.984,0.98,0.847,0.785,0.834,0.859,0.869,0.966,0.825,0.823,0.089,0.089,0.087
46.0,0.836,0.862,0.97,0.988,0.848,0.787,0.837,0.861,0.87,0.964,0.828,0.822,0.088,0.089,0.088
46.5,0.837,0.866,0.958,0.996,0.847,0.788,0.836,0.862,0.873,0.962,0.83,0.823,0.089,0.089,0.086
47.0,0.839,0.87,0.954,1.003,0.847,0.789,0.838,0.863,0.871,0.956,0.832,0.823,0.089,0.089,0.086
47.5,0.839,0.873,0.924,1.01,0.848,0.789,0.839,0.864,0.872,0.952,0.835,0.822,0.089,0.089,0.087
48.0,0.84,0.877,0.822,1.017,0.849,0.792,0.838,0.866,0.873,0.942,0.837,0.823,0.088,0.089,0.087
