,E9,E10,E11,F3,F4,F5,G3,G4,G5,G6,G7,G8,H1
0.0,0.296,0.296,0.297,0.271,0.269,0.265,0.263,0.261,0.26,0.276,0.285,0.272,0.097
0.5,0.291,0.288,0.289,0.264,0.265,0.261,0.258,0.256,0.255,0.275,0.28,0.265,0.098
1.0,0.284,0.283,0.284,0.256,0.256,0.256,0.254,0.251,0.251,0.267,0.273,0.261,0.098
1.5,0.281,0.282,0.279,0.254,0.254,0.251,0.249,0.249,0.249,0.265,0.271,0.258,0.098
2.0,0.286,0.286,0.28,0.256,0.255,0.254,0.251,0.252,0.25,0.267,0.273,0.26,0.099
2.5,0.294,0.292,0.288,0.259,0.261,0.259,0.257,0.26,0.254,0.272,0.279,0.265,0.098
3.0,0.304,0.3,0.3,0.27,0.271,0.268,0.263,0.271,0.263,0.282,0.287,0.273,0.098
3.5,0.318,0.313,0.311,0.279,0.28,0.277,0.273,0.286,0.272,0.291,0.294,0.283,0.098
4.0,0.335,0.328,0.323,0.292,0.29,0.287,0.281,0.299,0.281,0.3,0.304,0.292,0.098
4.5,0.353,0.346,0.339,0.304,0.301,0.302,0.296,0.314,0.291,0.312,0.316,0.305,0.098
5.0,0.367,0.365,0.358,0.32,0.317,0.317,0.31,0.331,0.306,0.326,0.331,0.319,0.099
5.5,0.378,0.378,0.37,0.333,0.333,0.335,0.322,0.34,0.318,0.34,0.343,0.333,0.097
6.0,0.387,0.388,0.381,0.347,0.345,0.345,0.337,0.347,0.335,0.356,0.358,0.346,0.098
6.5,0.397,0.398,0.393,0.359,0.356,0.358,0.35,0.361,0.342,0.367,0.371,0.36,0.099
7.0,0.406,0.407,0.403,0.369,0.365,0.368,0.358,0.373,0.356,0.376,0.38,0.366,0.098
7.5,0.42,0.419,0.418,0.384,0.378,0.381,0.373,0.388,0.369,0.387,0.389,0.378,0.098
8.0,0.429,0.431,0.429,0.401,0.391,0.393,0.387,0.399,0.381,0.399,0.402,0.391,0.097
8.5,0.444,0.444,0.444,0.418,0.411,0.405,0.405,0.413,0.392,0.412,0.417,0.405,0.098
9.0,0.454,0.458,0.461,0.434,0.425,0.416,0.42,0.427,0.406,0.422,0.429,0.419,0.098
9.5,0.464,0.472,0.476,0.455,0.439,0.423,0.44,0.443,0.418,0.433,0.442,0.43,0.097
10.0,0.475,0.484,0.493,0.472,0.451,0.436,0.458,0.458,0.43,0.448,0.454,0.442,0.098
10.5,0.486,0.497,0.509,0.49,0.464,0.449,0.474,0.472,0.443,0.458,0.466,0.454,0.097
11.0,0.496,0.511,0.527,0.505,0.476,0.459,0.49,0.487,0.457,0.475,0.476,0.465,0.098
11.5,0.509,0.525,0.545,0.519,0.489,0.47,0.503,0.501,0.465,0.483,0.488,0.476,0.097
12.0,0.523,0.54,0.562,0.533,0.5,0.482,0.517,0.514,0.478,0.496,0.498,0.483,0.097
12.5,0.535,0.554,0.579,0.545,0.515,0.496,0.529,0.529,0.489,0.508,0.513,0.498,0.097
13.0,0.55,0.569,0.596,0.559,0.526,0.51,0.545,0.541,0.502,0.52,0.525,0.511,0.097
13.5,0.564,0.585,0.61,0.571,0.539,0.524,0.561,0.555,0.515,0.531,0.538,0.52,0.098
14.0,0.58,0.6,0.625,0.585,0.553,0.537,0.575,0.568,0.527,0.544,0.551,0.537,0.097
14.5,0.595,0.613,0.641,0.598,0.565,0.551,0.591,0.581,0.54,0.556,0.563,0.549,0.096
15.0,0.608,0.629,0.655,0.613,0.581,0.565,0.606,0.595,0.555,0.571,0.577,0.563,0.097
15.5,0.625,0.644,0.671,0.628,0.594,0.579,0.621,0.608,0.567,0.583,0.589,0.576,0.097
16.0,0.638,0.657,0.687,0.641,0.608,0.589,0.635,0.623,0.579,0.596,0.601,0.589,0.097
16.5,0.65,0.672,0.702,0.657,0.62,0.601,0.649,0.635,0.594,0.609,0.615,0.601,0.097
17.0,0.662,0.684,0.716,0.672,0.635,0.612,0.664,0.649,0.606,0.62,0.628,0.615,0.097
17.5,0.674,0.698,0.733,0.688,0.648,0.625,0.679,0.665,0.622,0.632,0.641,0.629,0.098
18.0,0.686,0.709,0.747,0.702,0.661,0.636,0.691,0.68,0.633,0.645,0.653,0.642,0.098
18.5,0.698,0.721,0.762,0.714,0.674,0.648,0.704,0.695,0.647,0.66,0.665,0.654,0.097
19.0,0.711,0.735,0.776,0.728,0.689,0.658,0.717,0.711,0.66,0.673,0.677,0.667,0.096
19.5,0.722,0.748,0.79,0.739,0.703,0.67,0.728,0.725,0.674,0.687,0.689,0.679,0.098
20.0,0.735,0.762,0.805,0.751,0.716,0.682,0.744,0.743,0.686,0.702,0.703,0.694,0.097
20.5,0.745,0.775,0.817,0.768,0.731,0.692,0.75,0.758,0.699,0.716,0.718,0.706,0.098
21.0,0.755,0.785,0.83,0.772,0.742,0.7,0.751,0.771,0.71,0.727,0.727,0.718,0.098
21.5,0.767,0.798,0.832,0.773,0.755,0.712,0.754,0.783,0.723,0.738,0.74,0.733,0.097
22.0,0.776,0.81,0.83,0.776,0.767,0.724,0.759,0.798,0.734,0.75,0.753,0.746,0.098
22.5,0.787,0.821,0.831,0.776,0.779,0.736,0.795,0.8,0.745,0.761,0.763,0.759,0.098
23.0,0.797,0.832,0.83,0.788,0.794,0.745,0.813,0.802,0.756,0.773,0.774,0.769,0.098
23.5,0.808,0.838,0.851,0.831,0.801,0.754,0.814,0.803,0.764,0.784,0.784,0.785,0.097
24.0,0.817,0.836,0.882,0.833,0.798,0.764,0.815,0.806,0.764,0.791,0.794,0.789,0.098
24.5,0.818,0.838,0.884,0.831,0.799,0.776,0.815,0.838,0.766,0.79,0.795,0.79,0.097
25.0,0.818,0.836,0.884,0.829,0.799,0.779,0.817,0.85,0.767,0.791,0.795,0.789,0.098
25.5,0.817,0.839,0.885,0.826,0.801,0.777,0.82,0.847,0.767,0.792,0.798,0.79,0.097
26.0,0.818,0.843,0.884,0.824,0.811,0.776,0.821,0.843,0.78,0.795,0.799,0.793,0.097
26.5,0.82,0.87,0.884,0.82,0.844,0.779,0.822,0.838,0.811,0.808,0.802,0.804,0.098
27.0,0.826,0.889,0.882,0.817,0.844,0.779,0.825,0.835,0.813,0.835,0.831,0.833,0.097
27.5,0.85,0.889,0.88,0.813,0.84,0.78,0.828,0.831,0.814,0.836,0.842,0.835,0.096
28.0,0.865,0.889,0.882,0.813,0.839,0.802,0.832,0.827,0.814,0.836,0.841,0.835,0.097
28.5,0.868,0.888,0.879,0.811,0.836,0.819,0.837,0.824,0.816,0.836,0.84,0.836,0.098
29.0,0.867,0.89,0.878,0.811,0.836,0.817,0.842,0.82,0.817,0.837,0.838,0.836,0.097
29.5,0.869,0.89,0.878,0.811,0.833,0.816,0.847,0.816,0.817,0.838,0.835,0.836,0.097
30.0,0.871,0.892,0.879,0.812,0.831,0.818,0.854,0.814,0.819,0.84,0.838,0.838,0.098
30.5,0.874,0.891,0.877,0.813,0.83,0.816,0.858,0.811,0.819,0.841,0.839,0.839,0.098
31.0,0.878,0.892,0.878,0.815,0.829,0.817,0.865,0.808,0.822,0.841,0.837,0.842,0.098
31.5,0.879,0.893,0.875,0.815,0.827,0.816,0.87,0.805,0.821,0.843,0.836,0.84,0.098
32.0,0.879,0.893,0.875,0.818,0.824,0.817,0.876,0.801,0.824,0.844,0.839,0.845,0.098
32.5,0.882,0.892,0.873,0.821,0.822,0.819,0.884,0.799,0.824,0.844,0.84,0.845,0.098
33.0,0.883,0.894,0.876,0.826,0.82,0.821,0.891,0.798,0.825,0.846,0.839,0.847,0.097
33.5,0.885,0.894,0.876,0.832,0.819,0.822,0.899,0.796,0.826,0.849,0.839,0.849,0.096
34.0,0.886,0.894,0.877,0.838,0.816,0.824,0.907,0.795,0.825,0.852,0.839,0.849,0.098
34.5,0.888,0.893,0.877,0.842,0.816,0.824,0.911,0.794,0.826,0.851,0.839,0.848,0.097
35.0,0.888,0.892,0.879,0.848,0.813,0.825,0.916,0.793,0.826,0.853,0.839,0.849,0.098
35.5,0.889,0.89,0.878,0.854,0.812,0.827,0.92,0.792,0.825,0.855,0.838,0.848,0.097
36.0,0.889,0.89,0.878,0.861,0.81,0.826,0.922,0.791,0.824,0.855,0.837,0.849,0.096
36.5,0.891,0.892,0.881,0.869,0.809,0.83,0.927,0.794,0.827,0.857,0.839,0.85,0.098
37.0,0.891,0.891,0.881,0.876,0.806,0.831,0.93,0.793,0.826,0.854,0.837,0.85,0.097
37.5,0.892,0.89,0.884,0.885,0.806,0.831,0.934,0.796,0.825,0.855,0.837,0.851,0.097
38.0,0.892,0.89,0.883,0.891,0.802,0.83,0.934,0.794,0.824,0.853,0.835,0.849,0.095
38.5,0.894,0.891,0.887,0.9,0.804,0.833,0.939,0.797,0.826,0.855,0.837,0.85,0.098
39.0,0.893,0.89,0.89,0.908,0.801,0.832,0.936,0.798,0.825,0.854,0.836,0.849,0.097
39.5,0.894,0.889,0.893,0.914,0.802,0.831,0.937,0.799,0.825,0.856,0.835,0.849,0.098
40.0,0.893,0.889,0.895,0.919,0.799,0.833,0.935,0.802,0.824,0.854,0.835,0.848,0.097
40.5,0.894,0.889,0.9,0.926,0.799,0.833,0.934,0.805,0.825,0.855,0.835,0.85,0.098
41.0,0.894,0.889,0.902,0.929,0.797,0.833,0.927,0.808,0.825,0.853,0.834,0.847,0.097
41.5,0.894,0.889,0.905,0.934,0.799,0.835,0.924,0.81,0.827,0.853,0.834,0.847,0.097
42.0,0.895,0.889,0.909,0.939,0.796,0.834,0.919,0.812,0.827,0.854,0.833,0.846,0.097
42.5,0.894,0.889,0.913,0.941,0.798,0.835,0.912,0.815,0.827,0.852,0.832,0.847,0.098
43.0,0.894,0.887,0.918,0.946,0.796,0.835,0.906,0.817,0.827,0.852,0.832,0.845,0.098
43.5,0.895,0.887,0.923,0.948,0.796,0.835,0.906,0.821,0.827,0.851,0.832,0.846,0.098
44.0,0.895,0.886,0.928,0.947,0.795,0.834,0.807,0.823,0.827,0.851,0.832,0.844,0.098
44.5,0.894,0.885,0.932,0.947,0.795,0.834,0.737,0.826,0.828,0.851,0.831,0.844,0.097
45.0,0.894,0.885,0.936,0.946,0.794,0.834,0.714,0.83,0.828,0.85,0.828,0.842,0.096
45.5,0.895,0.885,0.944,0.942,0.795,0.833,0.739,0.835,0.832,0.851,0.83,0.844,0.099
46.0,0.895,0.885,0.948,0.939,0.795,0.832,0.746,0.838,0.83,0.851,0.83,0.844,0.097
46.5,0.895,0.884,0.953,0.937,0.797,0.834,0.762,0.841,0.834,0.852,0.829,0.843,0.096
47.0,0.894,0.882,0.958,0.93,0.796,0.833,0.787,0.846,0.836,0.852,0.827,0.842,0.098
47.5,0.894,0.883,0.962,0.926,0.797,0.832,0.861,0.848,0.836,0.852,0.828,0.843,0.097
